[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100, 110]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100, 110]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 105]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100, 110]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[15, 30, 45, 60, 75, 90, 105]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 75, 95, 110]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[15, 35, 50, 65, 80, 95]
[10, 30, 50, 70, 90, 105]
[10, 30, 50, 70, 90, 110]
[10, 30, 50, 70, 90]
[15, 35, 55, 70, 90]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 75, 90, 105]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 75, 90, 105]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 45, 60, 75, 90, 105]
[15, 35, 50, 70, 85, 100]
[10, 30, 50, 70, 90]
[10, 30, 50, 70, 90]
[10, 30, 50, 65, 85, 105]
[10, 25, 40, 55, 70, 85, 100]
[10, 25, 40, 55, 75, 90]
[10, 25, 40, 55, 70, 85, 100]
