[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 53, 59, 64]
[0, 6, 12, 18, 23, 29, 35, 41, 47, 53, 58, 64]
[0, 6, 11, 17, 23, 29, 35, 41, 47, 53, 58, 64]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 55]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 59]
[0, 6, 12, 18, 24, 29, 35, 40, 46, 52, 58, 64]
[0, 6, 11, 17, 23, 29, 35, 41, 47, 53, 59, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 59, 65]
[0, 6, 12, 18, 23, 28, 34, 40, 46, 51, 57]
[0, 6, 12, 18, 24, 30, 35, 41, 47, 53, 59, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 35, 41, 47, 53, 59]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 59, 65]
[0, 6, 12, 18, 23, 28, 34, 40, 46, 51, 57, 62]
[0, 7, 13, 19, 25, 31, 37, 43, 49, 55, 61, 67]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 59, 65]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 58, 64]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 59, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 59, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54]
[0, 7, 13, 19, 25, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 59]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 59]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 53, 59, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 35, 41, 47, 53, 59]
[0, 7, 13, 19, 25, 31, 37, 43, 49, 55, 61, 67]
[0, 6, 12, 19, 25, 31, 36, 42, 48, 54, 60, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 11, 17, 23, 29, 35, 41, 47, 53, 58, 64]
[0, 7, 13, 19, 25, 31, 37, 43, 49, 55, 61, 67]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 59]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 36, 41, 47, 53]
[0, 6, 12, 18, 23, 28, 34, 40, 46, 51, 57, 63]
[0, 6, 11, 17, 23, 29, 35, 41, 47, 52, 58, 63]
[0, 6, 12, 18, 24, 31, 38, 44, 50, 57, 64]
[0, 7, 13, 19, 25, 31, 36, 42, 48, 54, 60]
[0, 6, 12, 18, 24, 30, 35, 41, 47, 53, 59, 65]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 59]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 11, 17, 23, 29, 35, 41, 47, 53, 59]
[0, 6, 12, 18, 24, 29, 35, 41, 47, 53, 59, 65]
[0, 6, 12, 18, 24, 30, 35, 41, 47, 53, 59, 64]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 59, 65]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66]
[0, 6, 11, 17, 23, 28, 34, 40, 46, 52, 58, 64]
