[10, 18, 25, 32, 38, 44, 51, 57, 64]
[10, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[10, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 65]
[10, 17, 25, 32, 39, 46, 53, 59, 65]
[10, 16, 23, 29, 35, 41, 47, 53, 59, 65]
[10, 17, 23, 28, 34, 40, 46, 51, 57, 63]
[10, 17, 24, 30, 37, 43, 49, 54, 60, 66]
[10, 18, 26, 32, 38, 44, 50, 56, 62]
[10, 16, 23, 29, 35, 41, 47, 52, 58, 64]
[10, 17, 24, 31, 37, 43, 49, 55, 61, 68]
[10, 16, 23, 29, 35, 41, 47, 53, 58, 64]
[10, 16, 20, 25, 30, 35, 39, 44, 50, 56, 61]
[10, 15, 20, 26, 30, 34, 38, 42, 45, 51]
[10, 15, 21, 27, 33, 39, 45, 53, 59, 66]
[10, 16, 22, 29, 35, 40, 46, 53, 59, 65]
[10, 16, 20, 26, 32, 36, 41, 46, 52, 58, 63]
[10, 15, 20, 25, 30, 35, 40, 45, 51, 57, 62]
[10, 15, 21, 28, 33, 38, 43, 49, 56, 62]
[10, 16, 23, 29, 35, 40, 46, 53, 59, 65]
[10, 17, 25, 31, 37, 44, 50, 55, 61, 66]
[10, 17, 25, 31, 36, 42, 48, 52, 56, 61, 65]
[10, 18, 26, 32, 38, 45, 50, 54, 59, 63, 67]
[10, 17, 24, 30, 35, 42, 49, 54, 60, 65]
[10, 18, 26, 33, 39, 46, 52, 59, 66]
[10, 16, 23, 29, 35, 41, 47, 53, 58, 64]
[10, 16, 23, 30, 36, 43, 49, 55, 61, 67]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 66]
[10, 17, 25, 32, 39, 46, 53, 60, 66]
[10, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 65]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 66]
[10, 18, 25, 32, 38, 44, 50, 56, 62, 68]
[10, 16, 23, 30, 36, 42, 48, 56, 62, 68]
[10, 17, 24, 30, 36, 43, 49, 56, 62, 68]
[10, 17, 23, 29, 35, 41, 47, 53, 58, 64]
[10, 15, 21, 27, 32, 36, 41, 45, 51, 57, 62]
[10, 15, 20, 26, 31, 35, 39, 43, 48, 54, 59]
[10, 15, 21, 27, 33, 39, 45, 52, 58, 64]
[10, 16, 21, 27, 32, 36, 41, 46, 53, 59, 65]
[10, 16, 22, 28, 33, 38, 43, 49, 55, 60, 66]
[10, 15, 20, 25, 30, 34, 39, 43, 48, 54, 59]
[10, 16, 22, 29, 35, 41, 46, 53, 59, 65]
[10, 16, 21, 28, 33, 37, 42, 46, 53, 59, 65]
[10, 17, 25, 31, 37, 44, 49, 53, 57, 62, 66]
[10, 18, 26, 31, 36, 42, 48, 53, 57, 62, 66]
[10, 18, 26, 32, 38, 44, 49, 54, 59, 63, 67]
[10, 18, 26, 32, 38, 45, 51, 56, 61, 66]
[10, 18, 25, 32, 39, 45, 51, 57, 63]
[10, 16, 23, 29, 35, 41, 47, 52, 58, 64]
[10, 16, 23, 29, 35, 41, 47, 53, 59, 64]
[10, 16, 22, 28, 34, 40, 46, 51, 56, 62]
[10, 17, 24, 31, 38, 46, 53, 60, 67]
[10, 16, 23, 30, 37, 43, 49, 55, 60, 65]
[10, 16, 23, 30, 37, 43, 49, 55, 60, 66]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 65]
[10, 18, 25, 32, 39, 45, 51, 57, 63]
[10, 16, 23, 29, 35, 41, 47, 53, 59, 66]
[10, 18, 25, 31, 36, 42, 48, 54, 60, 66]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 66]
[10, 15, 21, 28, 33, 37, 42, 47, 53, 59, 65]
[10, 15, 20, 26, 32, 36, 40, 45, 52, 58, 63]
[10, 16, 21, 27, 33, 39, 45, 52, 59, 66]
[10, 16, 22, 29, 35, 41, 47, 53, 59, 65]
[10, 15, 21, 28, 33, 38, 43, 49, 56, 62, 68]
[10, 15, 21, 27, 32, 35, 39, 43, 48, 54, 60]
[10, 15, 21, 28, 33, 38, 43, 49, 56, 62]
[10, 16, 22, 29, 36, 42, 48, 55, 61, 67]
[10, 18, 26, 32, 38, 44, 49, 53, 57, 62, 66]
[10, 18, 27, 31, 35, 39, 44, 48, 51, 54, 57, 61]
[10, 17, 25, 31, 37, 44, 50, 55, 61, 66]
[10, 18, 26, 32, 38, 45, 51, 55, 61, 66]
[10, 19, 26, 32, 38, 44, 50, 56, 62, 68]
[10, 16, 23, 29, 35, 41, 47, 53, 59, 65]
[10, 16, 23, 30, 36, 42, 48, 53, 59, 64]
[10, 17, 24, 30, 36, 42, 48, 54, 60, 65]
[10, 18, 25, 31, 37, 43, 49, 55, 61, 67]
[10, 16, 23, 29, 35, 41, 47, 53, 59, 65]
[10, 16, 23, 30, 37, 43, 49, 55, 61, 67]
[10, 16, 22, 28, 34, 40, 46, 52, 57, 63]
[10, 18, 25, 33, 40, 47, 56, 64]
[10, 16, 22, 28, 34, 41, 47, 53, 60, 66]
[10, 18, 25, 31, 36, 42, 48, 54, 60, 66]
[10, 16, 22, 28, 34, 40, 46, 52, 57, 63]
[10, 15, 21, 28, 33, 37, 42, 47, 53, 58, 63]
[10, 15, 21, 27, 33, 38, 43, 50, 56, 61, 68]
[10, 16, 21, 27, 33, 38, 43, 49, 55, 60]
[10, 16, 23, 30, 36, 42, 48, 55, 61]
[10, 16, 22, 28, 33, 37, 42, 47, 53, 60, 67]
[10, 15, 21, 27, 32, 36, 41, 45, 51, 56, 61]
[10, 16, 22, 29, 35, 41, 46, 52, 58, 63]
[10, 16, 22, 28, 33, 38, 43, 49, 55, 60, 65]
[10, 18, 26, 31, 35, 40, 45, 49, 52, 55, 59]
[10, 17, 25, 31, 36, 42, 47, 52, 56, 61, 65]
[10, 18, 26, 32, 38, 45, 51, 56, 62, 67]
[10, 17, 24, 30, 36, 43, 49, 55, 61, 67]
[10, 18, 25, 32, 38, 44, 50, 56, 62, 68]
[10, 16, 23, 29, 35, 41, 47, 52, 58, 64]
[10, 16, 23, 30, 36, 43, 49, 54, 60, 66]
[10, 17, 24, 30, 36, 42, 48, 53, 59]
[10, 18, 25, 32, 39, 46, 52, 58, 64]
[10, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[10, 16, 23, 30, 36, 42, 48, 54, 60, 66]
[10, 17, 24, 30, 36, 42, 48, 54, 59, 65]
